"集數","日期","主題","來賓","備註"
1125,"2月26日","藝人員工站出來！ 我的老闆真的好偏心？","小瑋哥&王思佳&Julie、萁萁&黃鐙輝&曾子余、小安&徐凱希&張語噥、黑傑克&小A辣&林進",""
1126,"2月27日","挑戰偶像代表作！ 這首歌我來唱更好聽？！","評審：丁曉雯黃文星&蔡忻彤、黃昺翔、蔡恩雨、周定緯、陳大天&山豬",""
1127,"2月28日","作家閉關找靈感？！ 其實都去做了這些荒唐事！","苦苓、溫士凱、李昂、謝哲青、H",""
1128,"3月5日","現在的新聞太扯了吧！ 到底是真新聞還假新聞？","熊熊、趙正平、嘻小瓜、LALA、博焱、何美",""
1129,"3月6日","有台才敢大聲 一首歌燃起你的台客魂！","評審：Dennis黃鐙輝&民雄、斯亞、大飛&大根&大<U+5BF3>、曾治豪、安苡愛&安喬&何美",""
1130,"3月7日","全世界最可怕的生物 是驚世媳婦還是惡婆婆？","媳婦：吳姵穎、三<U+5BF3>媽、Vienna、可芸、羅莉勤,婆婆：萁媽、阿秀、宜真、江柃榛、張惠聊",""
1131,"3月8日","藝人粉專中看不中用？！ 粉絲真的Care你嗎？！","田舞陽、梁凱莉、山豬、詹子晴、鯰魚",""
1132,"3月12日","忍受你家人很久了嗎？！ 宗憲里家事調停所開館！！","李亞萍、吳鳳、雙兒余祥銓、Rynne、張克帆",""
1133,"3月13日","自己的歌自己負責！ 原唱再唱不好就糗了！","評審：丁曉雯南拳媽媽、小鐘、Makiyo、康康、董事長樂團",""
1134,"3月14日","是真驚險還是唬出來的？ 外景節目沒播的事！","阿布、苦苓、張雁名、謝哲青、侯昌明",""
1135,"3月15日","你的形象賺得了錢嗎？ 藝人業配能力大對抗！","琳妲、廖慧珍、趙正平,古拉、張友驊、蔡允潔",""
1136,"3月19日","不退讚不行！ 你的PO文真的好無聊！","孫協志、趙正平、郭鑫、Ben、蔡允潔、LALA,PTT台綜版版主：陳彥碩",""
1137,"3月20日","洗腦神曲2.0有毒慎入！ 這樣改讓你一聽就回不去了！！","周定緯&佟凱玲、許含光、黃鐙輝&陳大天、阿虎&安苡愛&無尊、李建軒&撒基努&紫棋妹",""
1138,"3月21日","要嘛就幹大事！ 他們都是各領域的霸主！","瑜庭、吉姆、喬老師、西門夜說&修分靈、馮羿、<U+9854>榮宏、楊元慶、李俊翰",""
1139,"3月22日","向天借膽才敢接這通告！ 你有種叫老婆閉嘴嗎？","王中平、Paul、撒基努、Michael、陳致遠",""
1140,"3月26日","行李箱裝得不是回憶是怒氣！ 最糟旅伴控訴大會！","小甜甜、黃豪平、成語蕎王宇婕、Eason、小優",""
1141,"3月27日","挑釁原唱大比拚！ 這首歌我來唱更好聽！？","王瑞霞、黃妃、秀蘭瑪雅、小鐘、麻吉弟弟,楊東霖、小晶玲、宋費爾、安雨晨、宛宛兒",""
1142,"3月28日","不務正業賺更多？ 斜槓青年在搞什麼鬼！","小煜、施芊芸、古墨、歐弟、樂事、黃品誠",""
1143,"3月29日","天外飛來橫財！ 妳的老公會背著妳私吞？","林秀琴、Maya、劉雨柔、徐小可、Mei",""
1144,"4月2日","演員苦水爆發！ 不就演個戲眉角這麼多？！","陳宇風、梁以辰、趙正平、張雁名、張庭瑚",""
1145,"4月3日","電視一播你就會跟著唱！ 魔性洗腦廣告歌！","小鐘、黃若熙、張三李四、林吟蔚、大根&阿虎",""
1146,"4月4日","客人！ 請你搞清楚！ 我是導遊不是神！","范美拉、瞿光復、Peggy、朱珣貝、Kevin費少傑、Rebecca、Keyboard桑",""
1147,"4月5日","你的大腦騙不了你的心！ 腦科學實測聯誼會！","惟毅、楊繡惠、曾莞婷、曾子余,醫學講師：Wendy",""
1148,"4月9日","無厘頭實驗室！ 這些玩意真有這麼神？","沈玉琳、Amanda、小賴、黃沐妍、博焱、無尊",""
1149,"4月10日","這首歌我聽過！ 但到底誰唱的啊？","大女孩、羅美玲、黃鐙輝、李子森、高以馨于立成、高慧君、袁小迪、孫協志、林佳儀",""
1150,"4月11日","宗憲里家事調停所2.0！ 傳聞有心結都是真的！？","安苡愛、楊晨熙、詹子晴、詹少倫、Julie、筱蕾",""
1151,"4月12日","挑戰大明星！ 你擁有巨星的潛質嗎？","評審：徐懷鈺,詹愷琪、黃鐙輝&阿虎、余祥銓、張可昀、孫生&琳妲",""
1152,"4月16日","訪問前線諜對諜？！ 藝人VS記者唇舌大戰！","丁國琳、小鐘、Makiyo、張芯瑜呂文婉、楊皓如、妏雪、憨憨",""
1153,"4月17日","熱門百老匯！ 這齣劇值得你掏錢買票嗎？","評審：丁噹、陳乃榮林凡、曾昱嘉、解偉苓、杜力",""
1154,"4月18日","超有用生活祕技！？ 等做完實驗再說吧！","沈玉琳、黃豪平曾雅蘭、熊熊、何妤玟、楊麗菁、林姿佑、解婕翎",""
1155,"4月19日","當有人高薪挖角時！ 你的藝人會見錢眼開嗎？","小瑋哥、黑傑克、葉子、Shanon王思佳、林進、詹子晴、馬丁",""
1156,"4月23日","為了上節目什麼事都做得出？ 使命必達搶通告大戰！","黃敬平、Paul、張可昀呂文婉、瑪莉亞、黃豪平",""
1157,"4月24日","流行在走腦袋要有！ 誰是藝能界最不Fashion藝人？","紅隊：蔡頭、張立東、Apple、Una,藍隊：沈玉琳、黃豪平、凱莉、Dora",""
1158,"4月25日","林志穎旋風來襲！當年的偶像你愛過誰！？","評審：林志穎麥若愚<U+9854>佑庭、沈玉琳、吳采臻",""
1159,"4月26日","穿上人生最小尺寸衣服大作戰！","山豬、Una、洪都拉斯、陳櫻文、林姿佑",""
1160,"4月30日","你又不是我媽！ 控制我這麼多做什麼？","控制狂：謝忻、圓圓、賀少俠,被害人：張可昀、黃少谷、杜力",""
1161,"5月1日","新人試唱列車！ 觀眾不愛就拜拜吧！","炎亞綸,陳欣<U+6588>、異鄉人、魏嘉瑩、陳政文、布蘭妮&烏來嬤&萁媽&雙胞媽、馬仕釗",""
1162,"5月2日","網路激推打卡美食！ 漂亮但好吃嗎？","奔奔小姐、踢小米、羅伊、美味拍手、林鮭魚、CelineM4",""
1163,"5月3日","妳的老公到底還能多無視妳？！ 婚姻恐怖真相實測！","張克帆&雙ㄦ、Ben&徐小可、吳懷中&小龜、撒基努&MAYA",""
1164,"5月7日","才不是這樣的啦！ 原住民最討厭被問這些事","盧學叡、林秀琴、CHAMPION、MAYA、珍珠、撒基努",""
1165,"5月8日","那些年爆紅的女孩！ 現在竟然變這樣？！","張香香、路雨希、膽固醇妹、楊葦萱、蘋果妹、昶霏、Cherry",""
1166,"5月9日","自己家人自己捧！ 明星家中的隱藏歌神來啦！","評審：沈玉琳、賴慈泓吳亦帆&吳亦偉、徐詣帆&月琴、甄莉&甄詒、羅美玲&林佳儀",""
1167,"5月10日","什麼事讓媽媽嚇到吃手手？！ 整老媽大作戰！","黃鐙輝&萁媽、馬國賢&國賢媽、Paul&咪咪媽、圓圓&圓圓媽",""
1168,"5月14日","大熱門誠實餐桌！ 閨蜜的實話總是殘酷的啊！！","詹子晴、黃喬歆、徐瑋吟、小優、成語蕎沈玉琳、郭彥均、Paul",""
1169,"5月15日","出國玩竟然被抓了？！ 我哪知道不能做這些事！","田舞陽、詹惟中、鄭楷丞、小優、馬丁",""
1170,"5月16日","在原唱面前挑戰代表作！ 誰能一眼就看出好歌喉？！","紅隊：辛曉琪、洪敬堯,藍隊：丁曉雯、王治平,方麗庭、那那大師、子涵、法愛、盧蓁、古拉、蔡恩霖、蛋捲、小發財、沈夢露、莊昱凡、魯蛋",""
1171,"5月17日","大明星返老還童！ 想看他們回到小學上課的青澀時光嗎？！","沈玉琳、黃鐙輝、Wackyboys、何妤玟、張立東",""
1172,"5月21日","生了一個娃！ 全世界都來教我怎麼養小孩！？","Vicky、兒童發展專家：王宏哲趙心<U+59F8>、張棋惠、Stacey、林舒語、林可彤",""
1173,"5月22日","少騙了！ 藝人網紅都說好用！？ 大熱門開箱實測！","林彥君、龍龍、可藍、LALA、熊熊、小熊趙正平、逸祥",""
1174,"5月23日","比荒謬大師還荒謬！ 怪奇對象合作賽！","Matzka&山豬&撒基努&古拉、朱海君&那那大師、婁峻碩&張友驊、安歆澐&靖雯&斑比&美美&Kitty&QQ、黃鐙輝",""
1175,"5月24日","你到底聽不聽得懂人話啊？ 溝通障礙公審會！","潘若迪、LALA、田舞陽、曾雅蘭沈玉琳、蘿莉塔、顏<U+6D06>澔、侯昌明",""
